dir,entry_bar,entry_price,sl,tp,exit_bar,result,r,setup
long,37019,1.13421,1.13194,1.13978,37020,Lose,-1.0,C
short,37273,1.10894,1.11036,1.10548,37274,Win,2.45,B
long,37394,1.10655,1.10465,1.11119,37400,Lose,-1.0,C
long,37439,1.10428,1.10295,1.10755,37440,Lose,-1.0,D
short,37488,1.10588,1.10784,1.10108,37489,Win,2.45,B
short,37557,1.1024,1.10287,1.10126,37558,Win,2.45,B
long,37590,1.09753,1.09596,1.10136,37591,Win,2.45,D
long,37706,1.11625,1.11563,1.11776,37707,Win,2.45,C
short,43559,1.1407,1.14159,1.13853,43561,Lose,-1.0,B
long,43802,1.16461,1.16377,1.16668,43816,Lose,-1.0,C
short,44089,1.17507,1.17631,1.17204,44093,Lose,-1.0,A
short,44348,1.18026,1.18244,1.17492,44349,Lose,-1.0,A
long,44446,1.1838,1.17804,1.1979,44471,Win,2.45,C
short,44708,1.1953,1.19852,1.18739,44711,Lose,-1.0,A
long,44789,1.19084,1.18732,1.19948,44790,Lose,-1.0,C
short,45191,1.18637,1.18778,1.18292,45195,Win,2.45,A
short,45618,1.16078,1.16171,1.1585,45622,Win,2.45,A
long,45642,1.15904,1.15852,1.16031,45643,Win,2.45,C
long,45800,1.17691,1.17607,1.17896,45801,Lose,-1.0,C
